Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=02940982fdf7f78d,블록체인 센터 시스템 엔지니어 (경력),대한민국,,"갖춘 분 - Docker / Git 등 관리 툴 사용 경험이 있는 분 - Shell(Bash,Zsh), Python, Perl 등을 이용한 스크립트 개발 경험이 있는 분 우대사항 - 블록체인 서비스를 사용하거나 블록체..."
https://kr.indeed.com/viewjob?jk=1ac0309bf0f9c5e1,Back-end Engineer 경력 채용,서울 삼성동,,"클라이언트와 통신을 위한 API 설계 및 구현 [자격요건] - C++, JAVA, Node.js, Python, Go 중 하나 이상의 언어 능통자 - 프로덕션 환경에서 지속적인 서비스 개선 및 운영 경험 - 웹 기술 및..."
https://kr.indeed.com/viewjob?jk=361662d3abf8e0f5,"Associate, Technical Account Management",서울,,"e.g. bash, PowerShell, VBScript, Python, etc.) - Demonstrated critical thinking... VBScript, Python, etc.) - Demonstrated..."
https://kr.indeed.com/viewjob?jk=1d0e51e2e431995b,[농심ENG] 신입/경력사원 정기채용,서울 신대방동,,"프로세싱 알고리즘 개발 경험자 - Open CV, Halcon, Python 사용자 - Vision SW 개발 경험자 - Deep Learning... Open CV, Halcon, Python 사용자 - Vision SW..."
https://kr.indeed.com/viewjob?jk=2f209edc482fdad4,"Senior System Software Engineer, DRIVE OS and BSP",서울,,"SoC architectures... chip components. Strong knowledge of C/C++/ Python, QNX... Linux OS. Understanding of CPU/GPU..."
https://kr.indeed.com/viewjob?jk=4ddc4326732ca170,[송파구] 의료ICT 인공지능 서비스기획 PM (팀장급),서울 송파구,,"인공지능 경력 3년 이상 - Python 경력 4년 이상 - 컴퓨터공학... 해외고객 대상 커뮤니케이션- 이미지 처리, 인공지능 경력 3년 이상- Python 경력 4년 이상- 컴퓨터공학 또는 관련학과 석사 이상- 최신 인공지..."
https://kr.indeed.com/viewjob?jk=bf499f9cb0a84aab,SK 브로드밴드 CloudPC Platform 개발 분야 경력사원,서울특별시,,"에 대한 이해 - Multi Cloud 환경에서 IaaS 이슈 해결 - Java, C/C++, Python 등 개발언어 Target 회사 - AWS, 틸론, 이노그리드, 크로센트 등 가상화 개발 국내외 회사 영입..."
https://kr.indeed.com/viewjob?jk=fbd88eef26e92e17,신입 및 경력직원 채용[채권평가사업본부],서울 영등포구,,"경제)학, 통계학, 금융공학 등 전공자 및 관련 지식 보유자 ㆍ프로그래밍 (MS Office, VBA, Python 등) 경험자 우대 ㆍ관련업무 경력자 우대 전형절차 및 일정 서류접수 01.21(금) ~ 01.2817..."
https://kr.indeed.com/viewjob?jk=f19b8cb8881146ea,DGIST-ETH 마이크로로봇연구센터 계약직 연구원 공개 초빙 공고,대구 현풍면,,"으신 분 우대 MATLAB, Python 등을 사용한 기본적인 프로그래... ANSYS 등) 모델 개발 우대 사항 MATLAB, Python 등을 사용한 기본적인 프로그래밍 경 험자 우대 Fluorescence..."
https://kr.indeed.com/viewjob?jk=94d06d4e6c7cc4d7,일본 원작IP 기반 하이엔드 RPG TA 담당자(무관),대한민국,,"C# 또는 Python 언어에 대한 이해 및 활용 경험이 있으신 분 - 아티스트로서의 업무 경험이 있으신 분 - 쉐이더 업무 경험이 있으신 분(HLSL) 우대사항 - 프로그래밍 언어(C/C++, C#, Python..."
https://kr.indeed.com/viewjob?jk=8e9c5f6989cb3c16,전산부문(POS개발팀),군포 당동,,"연 령 나이무관 자격요건 - 전산관련 학과 졸업 또는 관련 교육 이수자 우대사항 - C#, JAVA, Python, SQL 등을 이용한 프로그램 개발경험 - Javascript, ASP, jquery, React, HTML5..."
https://kr.indeed.com/viewjob?jk=78d00614fe43330e,Data Scientist 채용,성남 삼평동,,"빅 데이터 시스템(Hive, Map/Reduce, Hadoop, Spark, Gurobi 등) 경험 - Python, Pytorch 등 딥러닝 프레임워크 이해 및 개발 경험 우대사항 - IoT 기반 데이터 분석/인사이트..."
https://kr.indeed.com/viewjob?jk=3c1c5dc51d08cf18,Web / Spring Framework 개발자,서울 금천구,,게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>ASP|인터넷·IT·통신... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=4ff8d1c5f3099ce1,기술직 경력사원[스마트팩토리],서울 역삼동,,"로봇 고도화 개발 ㆍAI 공정기술 개발 ㆍ전기차 배터리 공정 검토 ㆍ전기전자, 컴퓨터공학, AI 계열 ㆍ Python, R 등 언어사용 우대 ㆍ제조 데이터 분석 경험자 우대 ㆍ유관 업무 경력 4년이상 울산 명 응시..."
https://kr.indeed.com/viewjob?jk=8a15326f80e07c08,Customer Operations Engineering Manager,대한민국,,experience in C++ or Java and Python - Network monitoring and application... C++ or Java and Python - Network...
https://kr.indeed.com/viewjob?jk=8d3779495965701b,[경력직] 미들웨어/PasS 엔지니어 채용,서울,,"Kubernetes, Ansible) - 컨테이너 적용 및 개발자 - 오픈스택, ceph 경험자 - python, go 개발경험과 Ansible 경험자 근무조건 격주 4일 근무제(금요일 격주휴무) 월요일 10시-18시 / 화..."
https://kr.indeed.com/viewjob?jk=c79d93526636e256,"Senior Data Scientist (Machine Learning, 반도체산업)",서울,,"Project management experience Programming skills, e.g. Python, R, Java, C++ Comfortable reporting results to both technical..."
https://kr.indeed.com/viewjob?jk=3155ddd27768c81e,상반기 경력직원 채용[CB솔루션],서울 영등포구,,"ㆍ지원 부문 업무 관련 1년이상 경험자 ㆍ데이터 분석 역량 보유 (데이터 분류 경험, R, SAS, Python 등 다뤄본 경험) 우대요건 [개인신용평가 모형개발/데이터 분석 컨설팅/컨설팅] ㆍ석사학위 보유자 /리스크관리..."
https://kr.indeed.com/viewjob?jk=8ec361500ad0540e,인공지능(AI) 소프트웨어 개발 경력자,서울 마포구,"연봉 50,000,000원 - 60,000,000원","지원자격]학력사항: 학사이상경력 : 경력 3년~7년이상[우대사항] Python 프로그래밍 능력 우수자컴퓨터/시스템공학영어가능자, 컴퓨터활용능력우수... 터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python"
https://kr.indeed.com/viewjob?jk=db663a685a5019e5,글로벌 소셜 카지노 사업 PM (경력),대한민국,,"분 우대사항 - 소셜 카지노 장르를 비롯한 카지노 산업 전반에 대한 높은 이해도를 갖춘 분 - R, Python 등을 활용한 통계 분석이 능숙한 분 - 비즈니스 수준의 영어가 가능한 분 - 글로벌 비즈니스 관련 경험..."
https://kr.indeed.com/viewjob?jk=8e403ecb8f2aaedc,R&D Data Analyst,충청남도 천안,,"knowledge and coding experiences in programming languages: VBA, Python - A person with good communication skill, problem..."
https://kr.indeed.com/viewjob?jk=588abee940b693a1,Game Platform Server 개발,대한민국,,"서비스 개발 Game Platform SDK 개발/운영 자격요건 Java, kotlin 혹은 C/C++, Python 언어에 능숙하신 분 Data structure, Algorithm, Network 등의 전산 기본 지식을..."
https://kr.indeed.com/viewjob?jk=60897e7668c2f24c,LINE Desktop Client 개발,대한민국,,발부터 배포까지 다양한 경험을 쌓으신 분 FFmpeg 소스 구조를 이해하고 능숙하게 이용할 줄 아시는 분 Python 스크립트를 능숙하게 다룰 줄 아시는 분 근무지 서현역 분당스퀘어 (※ 본 포지션은 협의에 따라 Remote...
https://kr.indeed.com/viewjob?jk=bbecbafc13a23ef1,"[EY한영] BD팀 Account Manager, Operation 경력직 모집",서울 영등포구,,"스킬 보유 - 영어 가능 인력(English Speaking/Writing) - Power BI, R, Python 등을 활용한 데이터 분석 역량 보유 우대 0명 * 전형절차 - 1차 서류 심사 - 2차 실무/임원..."
https://kr.indeed.com/viewjob?jk=1cda39e2d5c4ebba,2021년 12월 계약직 직원 채용_전산 개발,부산 가야동,,"전산개발 업무) 1) 웹(Web) 프로그램(ASP.Net, java, Spring Framework, Python 등)개발 가능자 2) DBMS(MS-SQL, Oracle, MYSQL 등 DB QUERY) 개발 가능자..."
https://kr.indeed.com/viewjob?jk=2165954253e0cd92,채용전제형 인턴십 모집,서울 여의도역,,"금융투자분석사, CFA Level 1 이상 등 관련 자격 보유자 • 엑셀 VBA 프로그래밍, SQL Python, R 등 활용가능자 • 통계학, 머신러닝, AI 관련 지식 보유자 리테일 영업지원 (기획, 지원..."
https://kr.indeed.com/viewjob?jk=d498993697237b33,AI(인공지능) 개발자,서울,,를 활용한 Machine Learning(Deep Learning) 개발 경험자 우대 3. C/C++/C#/ Python 등 프로그래밍 경험자 우대 4. 분산시스템에 대한 이해가 있는 분 우대 근무지 서울 연봉 회사내규에따름...
https://kr.indeed.com/viewjob?jk=8ddeb551435379f6,"Application Architect, Professional Services",서울,,"C#, Swift, Node.js, Python, Go, or Ruby... JavaScript, C / C ++, C #, Swift, Node.js, Python, Go 또는 Ruby 중 두 개 이상의 언어를 활용한 코딩..."
https://kr.indeed.com/viewjob?jk=2a68edbc6fc4ae77,"Data Scientist Manager(제조업종 Domain Focus), Data Platform 개발자",성남 분당구,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=424c40da403d9398,금융공학연구 신입/경력/병역특례 채용,서울 여의도,,"Data Science 프로젝트 경험 Big Data에 대한 분석능력( Python, R, Excel, Tableau 등) DevOps (신입/경력... AICPA/FRM 자격증 우대 Python/R/VBA/SQL 등 코딩 개발..."
https://kr.indeed.com/viewjob?jk=55bb3ada5aa1efe3,JAVA 경력 정규직,서울 금천구,,"집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] ㆍJAVA, PYTHON 개발 신입/경력 (중급 이상) 1. 기본적인 서버 및 데이터 관리 2... 수자 관련 자격증 보유자 JAVA, PYTHON 둘 중 하나라도 중급 이상..."
https://kr.indeed.com/viewjob?jk=39c839f6b729c0db,(주)엘솔루 웹 프로그래머,서울,,그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|경영·인사·총무·사무>경영·기획·전략>경영기획|경영·인사·총무·사무>경영·기획·전략>사업기획|경영·인사...
https://kr.indeed.com/viewjob?jk=527a780747c33c90,IT개발리더,서울 뚝섬역,,및 매니징 경험 (6년 이상) ㆍFrontend / Backend?( Python/Django) 개발 PM 경험자 [우대사항] ㆍ원활한 커뮤니케이션... ㆍFrontend / Backend?( Python/Django) 개발 PM...
https://kr.indeed.com/viewjob?jk=3769c08586c04026,[인재 POOL ] 개발자 상시,서울 구로구,,운영 - CI / CD 환경 구축 - 플랫폼 보안 관리 - 경력 2년 이상 - Java/Kotlin/ Python/Golang 개발환경 경험이 있으신 분 - Linux 환경의 서비스 경험이 있으신 분 - 새로운 환경...
https://kr.indeed.com/viewjob?jk=1b68c0bd75dbe08d,DGIST 고신뢰CPS연구센터 제1차 계약직 연구원 채용 공고,대구 현풍면,,"도계, 초음파센서 등의 신호 처리 기술 및 경험 Matlab 중급 이상 사용 능력 프로그램작성 능력 ( Python, C, C++ 등), 워드프로세서, 파워포인트 등 오피스 프로그램 사용 능력 급여수준 : 관련규정에..."
https://kr.indeed.com/viewjob?jk=faf40c2fe865ee5a,데이터분석 전문인력 채용,서산 대산읍,,1:1 문의하기 응시 자격 1) 수학/통계학 관련 전공 석사학위 이상 2) 해당 업무 보유경력 5년 미만 3) Python 또는 R 등 분석언어 사용 가능 4) 비즈니스 문제해결 역량 보유 (Data gathering...
https://kr.indeed.com/viewjob?jk=f38deda26266c40f,Sr Solutions Engineer,서울,,"Kubernetes) • Proficient in one or more programming languages ( Python, JavaScript, Golang, etc.) What you’ll bring: • 5 +..."
https://kr.indeed.com/viewjob?jk=e39f98268a8e6705,IT 개발,서울,,사용 경험이 있으신 분 - Python으로 AWS 모듈 (Boto3) 사용... AWS ECS 2. 필수사항 - Python 개발이 능숙하신 분 - Web3를 사용한 경험이 있으신 분 - Python으로 Flask를 사용한 경험이...
https://kr.indeed.com/viewjob?jk=8d43cb4ea87ff50c,[하나금융융합기술원] Computer Vision 경력사원 모집,인천 청라동,,"딥러닝 프레임워크(TensorFlow, PyTorch등) 기반 컴퓨터비전 연구개발 경험 · 프로그래밍( Python, C/C++ 등) 능력 [우대사항] ·컴퓨터 그래픽스 이해/구현/활용 경험 ·AI관련 최신 논문의 이해/구현..."
https://kr.indeed.com/viewjob?jk=a6d0f0030a9ad230,링크샵스 플랫폼 개발 및 유지보수 담당,서울 중구,,"알고리즘 모델링 및 적용 경험 [우대사항] • 인공지능, 머신러닝(기계학습), 빅데이터 관련 석사 우대 • Python, Tensorflow, Keras 경험자 우대 • 대용량 서비스 및 데이터 처리 경험자 우대 • 이미치..."
https://kr.indeed.com/viewjob?jk=a694cee57532e2d5,AI/퀀트 전략 개발 및 운용 경력사원 안내 (~7/9),대한민국,,"관련 지식 보유자 - 인공지능 관련 업무 혹은 퀀트포트폴리오 운용 경력자 - Data Analysis ( Python, R 등 활용) 경험자 우대 - 영어능력 우수자, 투자자산운용사 자격증 보유자 우대 4. 채용 프로세..."
https://kr.indeed.com/viewjob?jk=edc48b618869b17e,JAVA기반 응용SW개발자 & 웹개발자 훈련교사,대구 중구,,"모집분야 : 정보통신, JAVA, 머신러닝, C#, R, MySQL, Python, 인공지능(AI), 웹개발, 빅데이터 훈련교사, 교사, 강사 학력... 머신러닝, C#, R, MySQL, Python, 인공지능(AI), 웹개발..."
https://kr.indeed.com/viewjob?jk=97149a18aa559dfc,주식운용본부,서울 여의도역,,"식운용, 리서치 경험자 - 계량 리서치, 퀀트 모델링 경험자 - 프로그래밍 가능자 (SQL, VBA, R, Python 등) ※ 회사에서 정하는 범위 내에서 수습기간을 적용할 수 있음 ※ 「국가유공자 등 예우 및 지원에 관한..."
https://kr.indeed.com/viewjob?jk=d1d26bc871719fe2,대학생인턴십 2기 모집,서울 영등포구,,"러시아어 회화 가능자 - 통계 프로그래밍(Minitab, SPSS, SAS 등), 프로그래밍언어(R, Python 등) 활용 경험 보유자 - 빅데이터/IT/품질/환경안전 관련 자격증 보유자 - PLC,N/W, 비전, 센터..."
https://kr.indeed.com/viewjob?jk=861c63957dea8ffb,개발부문 경력직 채용,서울 상암동,,"이상 - 메시징 제품 (MMS,SMS,RCS) 개발경험 우대 - Python 프로그래밍 - MongoDB - SIP, Diameter, HTTP2... 험자 - LTE 네트워크 이해 - Python 프로그래밍 가능자 - SIP..."
https://kr.indeed.com/viewjob?jk=55f067a1c243c545,(주)아이엠비디엑스 생물정보학전문가(BI),서울 가산동,,"전문가(BI) - 알고리즘 개발 - BI파이프라인 구축 - 분석정밀도향상 - 필수프로그래밍 스킬:bash, Python,R [자격요건] - 학력 : 대학원 - 경력 : 경력년수 무관 - 성별 : 무관 - 연령 : 무관 [우대..."
https://kr.indeed.com/viewjob?jk=dc7e8ebe28f1cfc8,디지털개발부_데이터 엔지니어,서울 청진동,,"파이프라인 활용 경험 (ex airflow, argo etc) •오픈소스 기반 데이터 플랫폼 구축 경험 • Python 개발 경험(숙련자 우대) •추천 알고리즘, ML 개발 경험 •AWS/GCP 등 클라우드 환경에서의 개발..."
https://kr.indeed.com/viewjob?jk=27f1fd44afefb4aa,[인재 POOL 등록] 개발자 상시채용,서울 구로구,,에 대한 이해와 사용 능력이 우수하신 분 [DevOps 개발자] -경력 2년 이상 -Java/Kotlin/ Python/Golang 개발환경 경험이 있으신 분 -Linux 환경의 서비스 경험이 있으신 분 -새로운 환경을 익히...
https://kr.indeed.com/viewjob?jk=4f1fa326dbb1e4ea,ADS Platform Data Engineer,대한민국,,"제작 Data 수집 관련 서버 제작 자격요건 Java, Scala 등 한 가지 이상 JVM 계열 언어 혹은 Python, Golang에 능숙하신 분 데이터 스트리밍 처리에 대한 이해도가 있으신 분 하둡 에코 시스템 활용 데이..."
https://kr.indeed.com/viewjob?jk=464ef95516a5fa5c,8퍼센트 경력 개발자,서울 종로구,,"개발업무 - 금융 서비스 개발 - Python/Django 기반 - 정해진 역할이 아닌 기능에 따른 업무 분배 - 프로트엔드부터 백엔드까지 업무 범위... SQL 기본 - git flow - python, django 경험자 우대"
https://kr.indeed.com/viewjob?jk=e0bca2722e8dbe9f,부품개발(유량제어) 경력사원 모집,평택 진위면,,"분석 역량 - 주도적 분석 역량 (분석요건의 정의, 적합 모델의 설계 및 검증능력) - 코딩 능력(C++, Python 필수) - 유량 제어 알고리즘의 이해 및 개발 능력 - 배관 내 Gas, Liquid의 유량 분석 능력..."
https://kr.indeed.com/viewjob?jk=935438da5960abd2,상반기 경력사원 모집[제어설계],평택 진위면,,"OEM Feedback Controller 활용 및 Tuning 경력 - Matlab, Simulink, Python 등 활용 시스템 분석 및 모델링 경력 사업소개 - 원익아이피에스는 반도체, 디스플레이 핵심 공정 장비..."
https://kr.indeed.com/viewjob?jk=a0b45579980662e5,광고플랫폼 Data Scientist,성남 분당구,,"기반의 데이터 분석 및 모델링을 위한 전문 지식보유 - R, Java, Python, Scala 등을 활용한 데이터분석 및 알고리즘 개발 - 데이터... 지식보유 - R, Java, Python, Scala 등을 활용한 데이터분..."
https://kr.indeed.com/viewjob?jk=b6afa22832e54919,스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드,서울 서초구,,"클라우드기반 개발경험 개발/운영 (DevOps)경험자 [스킬셋] [Language] JAVA(95%), PYTHON(5%) [Front-End] Html,xml,javascript [OS] Window, Linux..."
https://kr.indeed.com/viewjob?jk=eb34ad750a7e3e17,개발자 경력사원 공개채용,서울 남대문로5가,,"Framework 개발 숙련 - JPA, JSTL / JSP, MySQL 개발 숙련 • 우대사항 - Python, Docker / Kubernetes 개발 숙련 - AWS / Azure / NCP 등 클라우드 플랫폼 사용..."
https://kr.indeed.com/viewjob?jk=70dee293689985cb,NHN Cloud 서비스 및 플랫폼 개발,성남 판교역,,"이용한 개발 경험 - Kafka, RabbitMQ 등의 메시지 큐를 이용한 개발 경험 - C/C++, Python 등의 다양한 개발 언어 구사 * 이런 서비스를 만듭니다. - 배치부서 및 개발 서비스는 최종합격 후..."
https://kr.indeed.com/viewjob?jk=52b0b1936e8b4732,모바일게임 서버개발자 모집,성남 서현동,,"및 구성 경험 1년이상: - PHP, Node.js, ASP.NET, Python, Java 언어에 대한 제한은 없음. - HTTP, JSon... Node.js, ASP.NET, Python, Java 언어에 대한 제한은..."
